numbers,comments
20,运行速度：真不愧是m1，比以前好很多呀。屏幕效果：超清晰，超舒服。散热性能：真的不发烫。外形外观：好看，完美。轻薄程度：超薄，很轻。
21,这个Macair的颜值绝了，非常好看，值得称赞的是它的屏幕，跟其他笔记本好太多了，色彩色域太完美，还可以外接显示器，非常实用。还有就是运行真的**静，续航也很突出。
22,外观非常简洁好看，很轻薄，携带很方便。使用起来很方便，很多APP都很简洁实用。京东送货也很快，头一天下单，第二天就到了，还赶上了优惠～～～很划算??
23,已经用了一段时间才来评价的，刚拿到的时候很惊喜的是产品的颜值，超薄超轻特别酷炫，用了以后发现惊讶于它的速度真是超快。用了女儿的学信帐号购买的，价格非常满意。就是以往她一直用的是windows，现在改用苹果，还是需要一段时间才能上手。
24,送朋友的。朋友很喜欢。干净 整洁   很好看。运行速度：速度很快屏幕效果：色彩鲜艳散热性能：一点都不发热外形外观：很好看
25,散热性能：很好，感受不到电脑发热运行速度：速度很快，很流畅外形外观：外观好看，做工精细轻薄程度：很轻薄
26,电脑超级赞，很喜欢，很早之前就想拥有一台苹果电脑，现在终于用自己赚来的工资为自己买了一台，很感慨，很好用，开机很快，关机速度更快，性能很完美！
27,外观材质实物看起来有一点粉色，电脑超级薄Mac的颜值真的没得说，很好用！电脑性能目前用着没有任何问题，学生优惠还是相当的划算
28,不错，性价比很高，办公用很流畅，开始用系统不咋熟练，慢慢用习惯了很好，很丝滑，显示效果也很好。苹果的做工和品控都没问题，满意。
29,银色是经典配色 m1芯片还不错 价格很优惠 体积小巧轻薄 单手把握 外观简洁 严丝合缝  很丝滑 方便带出门 还是直营店靠谱
30,运行速度：果然名不虚传，特意买的16G的，运行起来速度很快，日常办公完全没有问题；屏幕效果：屏幕很清晰，分辨率高，日常使用完全ok；其他特色：触摸板真的很灵敏，不用鼠标也完全可以
31,性价比超高！很好用！有轻薄！很适合办公！总体用下来非常不错！价格优惠了很多！等用一段时间再追评！物流也很快，京东物流绝对嘎嘎的！一直用京东的，很不错！
32,物流超级快，品质很好，很喜欢，价格非常优惠，用了一周，偶尔会有韩漫情况，整体还是非常推荐，性价比高。选了银色，很适合女士使用，尺寸大小也刚刚好，携带起来也比较容易。?电池抗用，充满电后，我可以用一天。
33,京东送货快，很快就用上了，一如既往地选择京东，品质保障，快递小哥服务热情，电脑运行速度快，屏幕清晰，外观时尚，性能好，推荐使用
34,轻薄程度：轻薄的很。全金属机身质感拉满。用来办公是真心不错，携带方便，启动迅速，可以直接忽略关机的，直接合上盖就行，工作起来没有一点噪音，
35,价格很香，没忍住诱惑。手里的MacBook用了十多年了，所有的操作还是很丝滑，可惜系统跟不上了很多软件都用不了，到应付日常的写稿还是很好用，所以依然选择了苹果。颜色选择了灰色，觉得还挺高级好看的，使用了一段时间觉得也挺满意的，这个价格入手不亏。
36,做了很久的功课，最后换电脑的时候还是选择了M1的Macbook Air，之前还是带背灯的时候用过。只记得续航非常厉害，也一直比较偏好超薄本，办公码字之类的都不耽搁就是了，很棒！
37,颜值很高，，很好看，也很薄，触控板真的很好用，不需要配鼠标，使用没有任何困难，系统需要熟悉熟悉，运行速度很快，不需要关机打开就可以使用，真的很方便
38,不愧是macbook，做工精细，系统流畅，屏幕很好，m1芯片性能也特别棒，键盘也很好用，触控变更是超神。平常也就办公，很棒了。
39,电脑收到了，好用流畅，最喜欢这个颜色了，简直就是我的梦中情电脑，哈哈，用教育优惠买的，价格也很实惠，性价比很高了，真的是非常满意的一次购物。
40,外形外观：正品店铺，放心购买，客服服务态度也OK，整个购物过程十分顺利，下次还会再来的，赞！屏幕效果：很清楚很惊艳运行速度：内存小运行速度第一次慢点后面很丝滑轻薄程度：很轻便好用
41,刚买完就可以白条12期免息了&hellip;&hellip;同样是年货节&hellip;无语?
42,作为一款极具性能和便捷性的笔记本电脑，Macbook air实在是令人非常满意的选择。它采用了apple一贯的精湛工艺和优良材质，使用它的整体质感非常舒适，手感非常好。其次macbook air的性能也非常出色，可以为用户带来无与伦比的操作体验。另外它的续航能力也特别出色，可以随时随地工作和娱乐。最后作为一款apple产品，它的生态环境也非常优良。用户可以登录iCloud，与其他apple设备同步实现文件共享、消息等功能。总的来说，非常推荐购买这款产品！
43,我愿意为颜值付费，苹果笔记本可太好看了。本来也只是日常办办公，看视频、听歌都很少，超薄银灰色的外观无可挑剔。京东物流也非常给力，凌晨下单，下午就送到。
44,感觉挺不错的，她很喜欢，性能足够，除了硬盘太小。其他感觉还不错，办公足够使用了。心心念念买Mac，总算是买了，哈哈哈哈哈哈哈哈。
45,中间发生了一些小插曲，不过京东很负责任，快速解决了，电脑很不错，装了虚拟机，运营很流畅，官方旗舰店值得信赖
46,"电脑是全新的，用起来很顺畅，就是用习惯win,对苹果电脑系统特别陌生，特别是手势还有一大堆快捷键，不过，是送给老婆的，她非常喜欢！"
47,运行速度快，散热性能也比较好，外观看起来就很高大上，然后屏幕呢也比较清晰，办公追剧都很给力，值得购买。
48,用了快一个月了，还不错。第一次用苹果的电脑买的最基本款，用了教育优惠6099。很喜欢苹果电脑的。重量以及它的运行流畅。。
49,第一：京东自营还是一流的好，头一天下单，第二天送货到家！必须全五星！第二：苹果产品确实好用，家里的手机、iPad、耳机、电脑都是苹果产品。品质值得信赖！
50,很好，包装很棒，外观不错，下次再来，到货很迅速质量非常好，客服态度非常非常赞，有问题及时给解决了复购了，家里人都说很好好，好，好，尽在不言中，产品真的很赞
51,用来看视频上网课非常的舒服，屏幕画质很清晰，亮度越足够，续航时间还长。东西就是好，而且完全不要担心质量，我买的是京东自营的产品。相信！
52,送货的工作人员非常认真地及时送达到家中，真的觉得很不错。打开电脑发现没有任何的问题，拿在手里很轻松的就可以运行啦。色彩效果非常棒的。
53,很轻便，目前来看产品的续航能力很强，很适合带出门出差试用。因为目前工作都是云端处理本地存储要求很低，所以这个丐版很实用。
54,心心念念了好久的MacBook air，基本配齐了全家桶，现在可以愉快的用苹果生态了。电脑的感受全网都有，所以就不多说，这次购买刚好碰上做活动，用了朋友的教育优惠，6099拿下，也算很不错啦。
55,颜值超高，配合教育优惠和银行卡优惠，做到5988，非常爽，续航时间长，可以一周不带充电器。性价比超高。这下全家桶配齐了。
56,目前这个价位拿下这台电脑，对于没有重度编程或者视频专业剪辑的话，够用很多年了，很赞。苹果电脑配上苹果手机，整个生态的优越性就体现出来了，回不去的。值得入手，现在！京东也可信！
57,发货快，包装严实，商品质量非常好，比专柜便宜很多，客服服务态度也特别好，好评！苹果电脑虽然事儿比较多，但是质量确实好，用了多少年都不坏！送媳妇儿的礼物很喜欢！
58,很好推荐给大家，值得购买，运行速度很快，并且颜值很高，用完教育特惠才6100，价钱很合适，真心地推荐给大家，可以购买啦！
59,帮朋友买的，应该还不错，就是没有鼠标和包，不开森。
60,运行速度：苹果全家桶 很不错 推荐屏幕效果：可以的 很清楚散热性能：散热也可以的外形外观：外观好看 是不错的轻薄程度：很轻薄 可以买其他特色：都不错 放心买就行了散热能力：散热还可以运行速度：速度很快 可以冲
61,快递速度非常快，前一天晚上下单，第二天就到了，物流也很让人放心，电脑是正品，没有一点问题，确实非常非常让我满意，以后推荐给朋友买
62,这一款苹果电脑用起来非常顺畅，外观也很好看，快递也很快，在有资金的支持下果然选择?是没错的，满足了本人续航的高要求，不用到处找插座
63,为了看演员白鹿的新剧《长月烬明》买了这台电脑，4月6日优酷平台晚上6点首播。充满了期待。电脑蛮好的，很轻便，我相信不会让我失望的。
64,安全下车啦先说商品质量：产品总体不错，包装严实。再说商家服务：点赞啦。最后点评快递：发货很快。是理想中的产品?，质量不错，物流也很快，值得点赞！
65,质量：产品质感很好，出乎意外啊，很喜欢的系列，买了很赚啊，会回购的系列。物流：出库很快，包装很好，快递十分给力，店铺在这方面做的很不错，不需要等哦。
66,?赶上做活动的时候买的，这个价格一分钱一分货??，从外观看很美?，材质做工都不错?，感觉买值了，还有物流超级快，点赞！
67,外形外观：漂亮，不愧是苹果的设计，摸起来也很有质感；轻薄程度：很薄，很轻巧；运行速度：基础款，我是办公，够用了算是很快的了散热能力：不怎么热，没有风扇，没有噪音屏幕效果：屏幕非常清晰，对眼睛很友好
68,用了一段时间了，手感很好，客服人员的态度也很好，他们都很耐心、很及时地回答所有问题，物流配送人员也很有责任，都是送货上门，虽然有点小意外，客服、物流的工作人员没有一丝的不耐烦，必须给工作人员点赞，你们辛苦啦
69,哇！我的新款MacBook Air真是太厉害了！简直追求轻薄的我终于找到了理想的笔记本电脑，它只有1.29公斤，真是非常轻便易携。屏幕的色彩还原度也很高，非常适合看电影和处理照片。使用起来非常流畅，不管是平时日常办公还是编辑视频处理图像，运行速度真的很快。而且它拥有更长的电池续航时间，让我在使用中完全不用担心电量不足的问题。1、轻便易携：??2、色彩还原度高：??3、流畅运行：???
70,电脑送的很快，本市就有货，抵了两件旧电器，来回收的小哥服务也非常好，回收价格很合理。花了4k+就买到了，超划算的，学生党必冲！！！！！
71,电脑很好，第一次用mac，没有那么不习惯，终端是unix系统，这点不错！视频清晰度高，不玩游戏，学习什么的可以！电池很难用，这点也很不错！
72,M1 ARM处理器，功耗性能都让人眼前一亮。同时也不用考虑双系统了。整体外形和以前一样，没有变化。全金属外壳，内部漂亮的做工。走线设计都让人很舒服。
73,"这个笔记本是我这些年来见过最便宜的苹果笔记本8000多9000多10,000的，这是达到了比我苹果手机只有苹果手机三分之二价格的电脑，而且非常的酷乐是M1芯片的话，我觉得这个还是非常得好"
74,运行速度：苹果速度杠杠滴屏幕效果：清晰散热性能：可以外形外观：轻薄，就是冲这点入手的轻薄程度：非常薄其他特色：价格比实体店划算，京东第二天就到家。以前一直在实体店买，京东貌似更方便，到货也快。没必要跑实体店啦。上网课用，性价比超高！跟我一块入手吧
75,这款2020年出的MacBook Air M1芯片首先很轻薄，续航能力很强，****视频大概能待机12小时。然后性价比比较高，深空灰配楔形设计的机身更加耐看，满意!
76,蛮不错的，很顺畅，画质好，很舒服售后客服和技术服务太棒了，很快解决了问题，感觉服务反应快，等待时间不是太久；解决起来很专业，蛮放心和暖心
77,非常不错的产品。 京东物流很快，值得信赖，一直都是在这上面买所有的电器。京东适合买这种手机和电脑，比较放心。安全下车啦！
78,买来学习用哒！很好外观也很漂亮诶 就是刚开始苹果键盘用不明白 后续剪辑视频还有听网课都在这个电脑操作 很喜欢嘿嘿嘿 听朋友介绍的用了好几年也不卡
79,挺好的呢！我是一直在京东喜欢买这些说真喜欢的服务也好很多好的东西都是因为京东的服务态度很好的?????，我是真的很喜欢
80,电脑轻巧方便，每天办公携带，手感好，散热也很好，反应速度很快，颜值高，还轻薄，续航也可以，屏幕显示效果也很好，运行速度很流畅，另外物流也很快，昨晚下单隔天早上就收到货，太赞了，值得推荐！
81,无意中看到的活动，非常非常的划算，包装得严严实实的，三层加厚纸盒，拆了半天，苹果操作系统简单方便，和平板一样的使用方法。
82,电脑很好用，京东服务也很好。买回来不会操作，客服和技术人员很耐心地给予了指导。非常满意非常感恩的一次购物。
83,MacBook Air真是把科技与美学相结合演绎得淋漓尽致，再加上教育优惠政策，这个价格完美，我敢说性价比最高的一款笔记本。
84,发货速度很快，东西包装的很好，价格优惠，我很满意?，还会回购?宝贝质量很好，收到货第一时间打开看了，很不错?，很满意?，客服也有问必答，感谢?是理想中的产品?，质量不错，物流也很快，值得点赞！
85,精挑细选很久?，最后决定买这一款?，到货后果然没有让我失望，实物很漂亮?，做工很精细?，特别满意?
86,一如既往旗舰店买。成像效果:不错，最久的照片五年了，成像效果不错 反应速度:出相不满，满意 操作难易:极其简单，傻瓜式操作 做工质量:好看，耐久保存外形外观:复古风十足。我的最爱 其他特色:一如既往的用这拍立得，喜欢这种方式的记录。
87,?宝贝收到了，颜色很好看，质感也很好，样子简单！?是我想要的！！下次还会再来！?是正品，跟商店里买的是一样的，在这网购方便快捷，品质放心，还会光顾！.^?^.
88,电脑收到了，很好用，价格也很实惠，非常满意的一次购物。很满意的一次购物，商家服务好，发货神速，物流也很给力，宝贝收到后非常喜欢，买得放心，用得安心
89,终于收到货了，非常非常喜欢，做工精致漂亮，已经被很多人夸了，真的太开心了，已经是他家的忠实粉丝了，以后还会继续买买买的。很好的购买平台，质量不错，特别是有品牌的，值得信赖
90,双十一入手的MacBook性价比非常的高 从我一个科技小白的角度来评价的话 这款内部的手感非常的好 金属质地的 然后质地非常的轻薄 屏幕的分辨率非常高 触摸板非常丝滑 然后音响效果也是嘎嘎棒 那天晚上用来看了世界杯是非常美好的人生体验
91,运行速度：运行速度很快很流畅屏幕效果：2k屏幕看着很舒服散热性能：arm 芯片一点也不热，续航很给力
92,被它非常高的颜值吸引买的，自己买了一个保护套，还有贴膜，感觉还不错吧，现在就是看看电视什么的，挺耐电的，还没有开始，用过办公
93,京东普通快递太差了，加了59元选了京尊达配送，专人配送，放心安全，目前已使用一段时间，运行速度快，散热性能高，轻薄，办公足够了，是我想要的电脑，一分钱，一分货，各方面比国产的强几倍。
94,反应挺快，颜值高，本来是为新工作而买的，但公司给新配备了华为的，就只能放在家里备用了，价格感觉挺划算的不到6200
95,感觉超值，就是比之前的版本重了不少，估计是为了维持续航吧。运行速度：很快，一如既往的苹果屏幕效果：肉眼分辨不出来啥不一样散热性能：散热很好外形外观：小巧轻薄程度：很薄其他特色：指纹识别
96,比想象中的金要偏粉点，以为是香槟金，这应该算是玫瑰金运行速度：还可以屏幕效果：屏幕清晰散热性能：目前没咋用 还不知道外形外观：挺薄的 适合女生轻薄程度：比较薄其他特色：比较轻，适合携带
97,上一个电脑用了几年卡了还不小心进水了，正好赶上活动赶紧下单新电脑。做了攻略选择了M1，实物很好看，挺薄的，虽然有些app装不了，但是这个流畅度爱你，跟手机搭配使用简直了。
98,挺不错的，电脑物流挺快的，上午买，下午就到了，包装挺好的，是苹果的正品，颜色挺好看的，大小合适用着了。比较轻便。好用。不错。
99,第一次到货的笔记本表面有些污渍，立马联系客服换货，第二次发来的没问题，发货也快，电脑很好用，轻薄方便。
100,运行速度：运行速度没得说，确实很快屏幕效果：感觉还行，第一次用Mac散热性能：还没用很长时间，感觉也没有多烫外形外观：外观设计理念还行轻薄程度：挺薄的，凑合只能说其他特色：键盘位置和鼠标位置很人性化，鼠标的位置完全足以操作
101,这个机器显示今年生产的，是新机器，开机后才激活，保修一年，完美！苹果手提电脑MacBook，在网上测评，显示这款不错，虽然是前年的产品，但是苹果核心的强大，用多四五年是没有问题的，现在性价比高，值得推荐购买。运行速度：快，但是我现在还在研究，因为对MacBook的系统不熟悉。屏幕效果：惊艳，音响效果也不错，如果比较安静，空间小的，真的可以比美音响效果！散热性能：这款机器的是没有风扇的，具体还没有发现有明显发热的现象。外形外观：超薄，重量是1250克。比我的15.6寸小米电脑轻了差不多700克。外形更加没得说了，小了不只一圈，差不多两圈了。机器只有两个雷电接口和一个音频的耳机接口。没有USB，需要再买扩展槽，最好要有Hdmi的播放视频或者PPT是极其需要的外接口。
102,外形外观：特地挑的深灰色，很有质感，比银色舒服点；轻薄程度：很轻，适合外出使用，充电器也很小巧，相对不错；运行速度：整体下来还行，偶尔会有卡顿，也可能是新系统问题不少。
103,运行速度：M1芯片不用担心，再用个好几年都不成问题屏幕效果：清晰亮度可用散热性能：看中无风扇，安静适合办公外形外观：很复古哈哈哈，跟7、8年前的机器一摸一样，但是就是看中轻薄
104,运行速度：M1很快屏幕效果：2K屏幕很细腻，挺好的散热性能：没风扇，散热性能还不错，不烫外形外观：一如既往的苹果模型，深空灰很商务轻薄程度：比M2看的轻，不过比M2重一点点
105,拿到几天，还没开始用，刚把软件装好，看了一些使用技巧的视频，看了哪些办公的软件，和windows 还是差别很大，但是作为苹果老用户，手机和平板都很顺手，电脑确实使用更复杂，但是触控是真的好用。鼠标都不爱了。
106,还可以吧，和平板手机很相似，客服耐心解答，挺好的办公区不会有广告出来，需要自己买转换器，熟悉后不用鼠标也可以。好评。教育优惠买的挺实惠的，有需要可以入，平时就是做做文档，写点东西，性能足够了。
107,上午下单，下午就到了。很流畅，很精致，第一次用苹果的本，轻办公8+256也够了。当天晚上配置了开发环境，不一样的体验。但是不知道为什么有划痕！很无语
108,笔记本电脑质量还不错，与京东卖家描述的一致，与新速度很快，发货速度非常快，第二天就收到了，包装非常仔细、严实，物流服务很好，但是收货一个礼拜后就降价了三百，与很多设备不兼容。
109,一开始想要省钱买个两三千的国产牌子，但看了一圈，大点的品牌至少也要四五千，小点的 价格低的 又怕质量不行。最后还是决定买熟悉的mac屏幕效果：成色很好，高级感外形外观：长在我审美点上轻薄程度：轻薄，适合办公运行速度：应该不错
110,作为办公电脑，丐版完全够用了，内存挂个硬盘也可以了！轻度办公，两天一充，我还是挺满意的！还有就是延续了Air系列的轻薄！性能够用了！
111,质感一流，美貌一流，续航一流，非常适合日常办公，就是有些网站用苹果电脑就用不了，有点不方便，总体来说还是很喜欢的
112,电脑很不错，用起来很丝滑顺畅，目前用的还可以，死机过一次，也不知道是咋回事，但目前只卡顿过那一次，现在用着还行没什么问题，样子好看的系统也可以
113,之前用的电脑特别重，特别不好携带。这次选择了苹果电脑就是冲着他的颜值和他的外观去的。还是比较满意的，有些功能和普通电脑不一样，正在熟悉。
114,颜值在线，色差柔和 播放视频自带浏览器有卡顿，需要重新下载视频播放器，外置两个typec，一个耳机接口，总体不错！
115,MacBook Air就是一件艺术品，外观一直是人类设计的标杆，简洁大方。M1的性能对于文字工作者来说完全足够，没有必要硬上M2。加上M1只需要6000出头的价格，和M2两千多的差价，实在是没有必要，这个屏占比虽然没有新款大，但是不用忍受刘海也是很不错的。苹果笔记本的学习成本很高，还需要慢慢学习研究呢。
116,丐中丐版电脑，自己把系统安装在外置的固态上，解决了存储不够的问题，安装了虚拟机能运行window，平时的专用软件都能运行，续航牛。
117,一直想买macbook 趁着活动 赶紧下手 目前用下来感觉不错 系统流畅顺手 外观感觉很结实 希望可以用5年以上吧 期待
118,快递一如既往的快，电脑还没发现什么好与不好，用了教育优惠还是便宜了一点的。只能说苹果的系统需要适应一段时间，开盖就是开机，Excel之类的在苹果系统里面需要单独激活。
119,京东比实体店价格要便宜几百块钱，但是嗯还行吧，嗯电器的东西一直都在京东买相对的品质比较，有保障还可以享受很及时的，搞笑的配送很方便。
120,MAC的系统用惯了的确是比windows要6，平时简易办公和看视频足够用。赶上活动下单优惠很多，比在直营店优惠900元，好评。
121,运行速度：运行速度流畅丝滑。屏幕效果：屏幕显示效果细腻。散热性能：目前没怎样便用，感觉散热还好。外形外观：外观时尚，靓丽。轻便小巧。轻薄程度：轻薄便携，外出办公好用。平时不玩游戏，就做下表格上上网，足够用了。就是收到了发现外包装有点轻微掉皮，拆开后没问题。
122,东西很好，物流速度很快，就是很快降价，不太值得，价格浮动有点大，m1日常使用还是可以的，应该可以用多几年时间！！！！！！
123,运行速度：运行速度流畅丝滑屏幕效果：屏幕显示效果细腻散热性能:目前没怎样便用，感觉散热还好。外形外观：外观时尚，靓丽。轻便小巧轻薄程度：轻薄便携，外出办公好用。平时不玩游戏，就做下表格上上网，足够用了。
124,运行速度：流畅屏幕效果：一般吧，够用散热性能：很好外形外观：真的，一直觉得这个磨具是MacBook设计的巅峰，最新的刘海MacBook真的太丑了总结：虽然是三年前的产品了，但是当今这个5xxx的价格拿下依然无敌手，很香。
125,屏幕效果：可以啊，这个屏幕看起来好舒服适合我这样的文字工作者运行速度：Chrome多开没问题，跑java还是要晚上看看外形外观：还是很好看的
126,以前一直用ibm感觉非常好用，就是系统广告太多了，犹豫了很久买了苹果，刚开始不习惯，越用越喜欢。电池用一天没问题，小巧轻便，携带方便，漂亮。
127,电脑还是一如既往的好用，M1芯片太好了！苹果的系统真的是有优势的，颜值也是一如既往的好，更小的机身，方便携带，是一款性价比超高的电脑！
128,以前有简单体验过苹果一体机，真算起来这是我第一台mac电脑，几天体验下来还不错，机身轻薄，系统运行非常流畅，因为一直在使用苹果手机的缘故，系统操作适应良好，只是这个配置玩游戏就别想了，?，再加上适配mac的游戏也不多，对于办公学习来说非常不错。整体体验给好评！
129,MacBook！！真的很棒！本来要买air5，看了下价格直接冲了MacBook，果然没选错！用电脑视频了两个小时，掉了1格电，绝的让我害怕hhh
130,下单第二天就到货了，特别快。用了两天没有问题。开机激活特别棒。之前买了手机，这回换笔记本了认准京东自营，满意！
131,感觉电脑很高级，而且非常的小巧精致灰色真的是太好看了目前整体使用情况还可以就是没有用过，还需要多学习一下他的操控才行。
132,想起三宅一生的设计理念再也不要毫无保留运行速度：起飞??屏幕效果：艳丽丰富散热性能：强大到不要风扇静音的很外形外观：简洁大气其他特色：质感很高常说苹果的设备买软件送硬件其实硬件苹果也是一流
133,嗯之前买了一个，但是被水浸湿了坏了，所以现在又买了一个同款不同的颜色，感觉还是非常好用的，所以会再次购买总的来说也非常的划算。
134,物流很快，买完第二天就到了，直接送到家门口。查询了保修时间，这个是新的机器。充电一次可以用蛮久的，电脑用起来非常流畅。音质也蛮好的，画面清晰。
135,买了A+会员再买的A+会员版，价格和用教育优惠差不多触控板很丝滑，OS系统用来办公很niceps和ai的简单处理也可以，不常用
136,这个MacBook Air 考虑了很久才下单，本来有些顾虑，到货之后使用了一下，觉得这个电脑对于办公来说，很友善，上手容易，操作简单
137,运行速度：很可以屏幕效果：很舒适散热性能：目前没出现发热现象外形外观：每次用就想说：?真香轻薄程度：很合适
138,运行速度：苹果自家的M1芯片是无敌的快屏幕效果：屏幕色彩饱满专业散热性能：无风扇得益于这颗强大又低功耗的M1芯片外形外观：不愧工业设计美学里的佼佼者，轻薄程度：虽然超薄但也不失手感称手对于日常工作和各种专业使用都能驾驭，关键现在价格实惠性价比高，满意。
139,运行速度：一般软件都是几秒内打开屏幕效果：很清晰，买就是因为屏幕清晰散热性能：没什么热量外形外观：好看轻薄程度：轻运行速度：跑idea两个也挺快刀是精准的，教育福利。预算够，还是买大点的内存，避免焦虑。
140,挺好的，安全下车，没有瑕疵屏幕效果：好运行速度：正常散热性能：还行外形外观：不错轻薄程度：轻散热能力：还行
141,用过许多机子，还是用上了macbookair ，细腻的手感，顺畅的系统，这价格，也算得上性价比高，相当不错！
142,屏幕效果：最大的亮点就是屏幕效果高清**大爱散热性能：一般的使用场景基本不发热，高科技产品不服不行。外形外观：机身小巧玲珑性能强大无比运行速度：运行速度没得说，一点都不卡
143,有一点点小划痕，算了，其他总体还算满意，为了偶尔做ppt买的，所以买的丐版，没什么特别要求，目前为止就看了看电视；运行速度不错，有一点点不喜欢的就是任意键开机
144,用了一段时间才来评价，第一次买苹果笔记本，适应了一段时间，没有大家说的那么难适应。性能什么的真的没得说，客服也很好，有问必答。我是文科专业，对电脑没什么要求，平时做做PPT剪剪视频很流畅，续航也好。就是有些软件下载起来有些麻烦，不过不是什么大问题，总体来说真的很喜欢。
145,外观：颜色低调好看，不同角度看会有不同程度的灰色，重量很轻，女生带起来很方便性能：使用起来很方便，像放大的平板，作为日常办公及轻度娱乐来说很合适快递：送过来的时候最外面的包装盒子破了三个洞，最大的有一拳这么大，有一个还在外面补了胶带，幸亏里面的盒子没有破损，运输过程中还是需要注意
146,都说苹果产品是服务生产力的，虽然目前生产力上还没有需求，但为了体验一下还是决定买了试试。跟传统笔记本区别还是有点的，屏幕效果不错，便携性也很好，待机也够。
147,续航能力是真的强，还方便携带，就是有些软件不兼容，之前一直用的win还不太习惯，还得继续摸索哈哈哈哈
